Found 13 sales for PREM:
Date: 2026-01-01, Total: 5400, Paid: 5400, Credit: 0
Date: 2026-01-01, Total: 5400, Paid: 5400, Credit: 0
Date: 2026-01-07, Total: 5400, Paid: 0, Credit: 0
Date: 2026-01-08, Total: 950, Paid: 950, Credit: 0
Date: 2026-01-08, Total: 2700, Paid: 2700, Credit: 0
Date: 2026-01-14, Total: 2700, Paid: 2700, Credit: 0
Date: 2026-01-14, Total: 950, Paid: 950, Credit: 0
Date: 2026-01-17, Total: 1425, Paid: 1425, Credit: 0
Date: 2026-01-17, Total: 2700, Paid: 2700, Credit: 0
Date: 2026-01-17, Total: 2700, Paid: 0, Credit: 0
Date: 2026-01-17, Total: 1425, Paid: 0, Credit: 0
Date: 2026-01-22, Total: 1600, Paid: 1600, Credit: 0
Date: 2026-01-23, Total: 2700, Paid: 0, Credit: 2700
